id,name
197,دانشگاه شریف
198,کالج پزشکي آلبرت اينشتين
199,دانشگاه مينه
200,دانشگاه مينه سوتا
201,کالج پزشکی آلبرت اینشتین
202,دانشگاه مینه
203,دانشگاه مینه سوتا
204,دیابت دانشگاه هاروارد آمریکا
205,دیابت دانشگاه هاروارد
206,انجمن دیابت آمریکا
207,دانشگاه ایندیانا
208,دانشگاه کنتاکی
209,دانشگاه جرج تاون
210,پیام نور تهران
211,دانشگاه آزاد اسلامی تهران
212,دانشگاه صنعتی برلین
213,دانشگاه آزاد اسلامی واحد بوشهر
214,دانشگاه کردستان دانشگاه کردستان
215,دانشگاه تربیت معلم
216,دانشگاه کردستان
217,دانشگاه کردستانیکیک
218,دانشگاه تربیت معلم تهران
219,دانشگاه کردستان
220,علمیه قم
221,دانشگاه فضایی وایدنِر
222,دانشگاه آنکارا
223,دانشگاه پنسیلوانیا
224,دانشگاه فرهنگیان -
225,دانشگاه شهید رجائی
226,دانشگاه فرهنگیان (
227,دانشگاه ایسکانیوز
228,دانشگاه آزاداسلامی
229,دانشگاه علوم انتظامی امین
230,دانشگاه علوم انتظامی
231,علوم پزشکی اصفهان
232,یونیورسیتی ورد
233,دانشگاه فنی امیر کبیر
234,دانشگاه فنی امیر کبیر اراک
235,دانشگاه لیل
236,دانشگاه لیل فرانسه
237,دانشگاه آ‌زاد
238,دانشگاه آزاد اسلامی نکا
239,دانشگاه آزاد نکا
240,حقوق دانشگاه تهران
241,دانشگاه بوعلي
242,دانشگاه شریف تهران
243,دانشگاه تل
244,دانشگاه آزاد اسلامی گرگان
245,خاتم
246,دانشگاه آزاد اسلامي گناباد
247,دانشگاه آزاد اسلامي
248,دانشگاه آزاد اسلامی شهرضا
249,دانشگاه شهرضا
250,دانشگاه شهرضا
251,دانشگاه سبز
252,مدرسه علمیه نواب
253,دانشگاه ورمونت
254,دانشگاه مازندران
255,دانشگاه زنجان
256,دانشگاه خوارزمی
257,آکادمی نظامی خصوصی نیویورک
258,آکادمی نظامی خصوصی
259,پزشکی سیرجان
260,دانشگاه بین المللی امام
261,دانشگاه بین المللی امام رضا
262,دانشگاه ملی مکزیکو سیتی
263,مدرسه علمیه فاطمیه
264,دانشگاه علوم پزشکی بوشهر
265,دانشگاه ایران
266,بهداشتی دانشگاه‌های علوم پزشکی بوشهر
267,دانشگاه بریتانیایی
268,دانشگاه پیام نور
269,دانشگاه علوم پزشکی مشهد
270,دانشگاه خبرگزاری آنا
271,مدرسه شعر نیویورک
272,هاروارد
273,دانشگاه بابل
274,دانشگاه افسری
275,فنی حرفه‌ای مهاباد
276,دانشگاه آیت ا... العظمی حائری میبد
277,دانشگاه دانشگاه اراک
278,دانشگاه دانشگاه اردکان
279,دانشگاه دانشگاه ارومیه
280,دانشگاه دانشگاه اصفهان
281,دانشگاه دانشگاه الزهرا(س)
282,دانشگاه دانشگاه ایلام
283,دانشگاه دانشگاه بجنورد
284,دانشگاه دانشگاه بزرگمهر قائنات
285,دانشگاه دانشگاه بناب
286,دانشگاه دانشگاه بوعلی سینا
287,دانشگاه دانشگاه بیرجند
288,دانشگاه دانشگاه بین‌المللی امام خمینی (ره)
289,دانشگاه دانشگاه پیام نور
290,دانشگاه دانشگاه تبریز
291,دانشگاه دانشگاه تحصیلات تکمیلی صنعتی و فناوری پیشرفته
292,مرکز آموزش عالی دانشگاه تحصیلات تکمیلی علوم پایه زنجان
293,دانشگاه دانشگاه تربت حیدریه
294,دانشگاه وابسته به دستگاه اجرایی دانشگاه تربیت دبیر شهید رجایی
295,دانشگاه دانشگاه تربیت مدرس
296, دانشگاه تفرش
297,دانشگاه دانشگاه تهران
298,دانشگاه دانشگاه جامع علمی ـ کاربردی
299,دانشگاه دانشگاه جهرم
300,دانشگاه دانشگاه جیرفت
301,دانشگاه دانشگاه حضرت آیت ا...العظمی بروجردی (ره)
